"Keyword","Avg. Search Volume (Last Known Values)","Avg. Search Volume (Last 12 months)","Avg. Search Volume (Last 6 months)","Avg. Search Volume (Last 3 months)","Location","CPC/USD","PPC","Keyword Difficulty","Keyword interest growth (%)","Content Type","Search Intent","Keyword Opportunities","Serp Features","Search Volume 3/2015","Search Volume 4/2015","Search Volume 5/2015","Search Volume 6/2015","Search Volume 7/2015","Search Volume 8/2015","Search Volume 9/2015","Search Volume 10/2015","Search Volume 11/2015","Search Volume 12/2015","Search Volume 1/2016","Search Volume 2/2016","Search Volume 3/2016","Search Volume 4/2016","Search Volume 5/2016","Search Volume 6/2016","Search Volume 7/2016","Search Volume 8/2016","Search Volume 9/2016","Search Volume 10/2016","Search Volume 11/2016","Search Volume 12/2016","Search Volume 1/2017","Search Volume 2/2017","Search Volume 3/2017","Search Volume 4/2017","Search Volume 5/2017","Search Volume 6/2017","Search Volume 7/2017","Search Volume 8/2017","Search Volume 9/2017","Search Volume 10/2017","Search Volume 11/2017","Search Volume 12/2017","Search Volume 1/2018","Search Volume 2/2018","Search Volume 3/2018","Search Volume 4/2018","Search Volume 5/2018","Search Volume 6/2018","Search Volume 7/2018","Search Volume 8/2018","Search Volume 9/2018","Search Volume 10/2018","Search Volume 11/2018","Search Volume 12/2018","Search Volume 1/2019","Search Volume 2/2019","Search Volume 3/2019","Search Volume 4/2019","Search Volume 5/2019","Search Volume 6/2019","Search Volume 7/2019","Search Volume 8/2019","Search Volume 9/2019","Search Volume 10/2019","Search Volume 11/2019","Search Volume 12/2019","Search Volume 1/2020","Search Volume 2/2020","Search Volume 3/2020","Search Volume 4/2020","Search Volume 5/2020","Search Volume 6/2020","Search Volume 7/2020","Search Volume 8/2020","Search Volume 9/2020","Search Volume 10/2020","Search Volume 11/2020","Search Volume 12/2020","Search Volume 1/2021","Search Volume 2/2021","Search Volume 3/2021","Search Volume 4/2021","Search Volume 5/2021","Search Volume 6/2021","Search Volume 7/2021","Search Volume 8/2021","Search Volume 9/2021","Search Volume 10/2021","Search Volume 11/2021","Search Volume 12/2021","Search Volume 1/2022","Search Volume 2/2022","Search Volume 3/2022","Search Volume 4/2022","Search Volume 5/2022","Search Volume 6/2022","Search Volume 7/2022","Search Volume 8/2022","Search Volume 9/2022","Search Volume 10/2022","Search Volume 11/2022","Search Volume 12/2022","Search Volume 1/2023","Search Volume 2/2023","Search Volume 3/2023","Search Volume 4/2023","Search Volume 5/2023","Search Volume 6/2023","Search Volume 7/2023","Search Volume 8/2023","Search Volume 9/2023","Search Volume 10/2023","Search Volume 11/2023","Search Volume 12/2023","Search Volume 1/2024","Search Volume 2/2024","Search Volume 3/2024","Search Volume 4/2024","Search Volume 5/2024","Search Volume 6/2024","Search Volume 7/2024","Search Volume 8/2024","Search Volume 9/2024","Search Volume 10/2024","Search Volume 11/2024","Search Volume 12/2024","Search Volume 1/2025","Search Volume 2/2025","Search Volume 3/2025","Search Volume 4/2025","Search Volume 5/2025","Search Volume 6/2025","Search Volume 7/2025","Search Volume 8/2025","Search Volume 9/2025","Search Volume 10/2025","Search Volume 11/2025"
"bmi räknare midjemått",10,10,10,10,"Sweden","",14,,50,"","","","","","","","","","","","","","","50","10","10","30","40","10","10","10","10","10","10","10","0","10","10","0","10","10","","","","","","","","","","","","","","","","","","","","","10","10","10","10","10","10","10","0","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","20","20","10","10",20,10,10,10,10,10,10,10,10,30,10,10,10,10,10,10,10,10,10,10,10,10,20,10,20,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"bmi räknare muskler",10,10,10,10,"Sweden","",36,,50,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"bmi räknare viktväktarna",10,10,10,10,"Sweden","1.02",20,,-29,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","10","10","10","10","10","10","10","10","10","10","10","10","10","20","40","40","30","70","50","30","40","20",30,50,40,50,30,30,70,50,40,30,30,20,20,20,20,30,20,20,10,10,20,10,20,30,20,30,30,30,20,30,20,20,10,20,40,30,20,20,20,20,10,10,20,10,20,20,10,20
"bmi räknare äldre",10,10,10,10,"Sweden","",17,,0,"","","","","","10","30","20","10","10","10","20","50","20","20","10","10","10","30","10","10","20","20","10","10","0","10","20","10","10","10","10","","","","","","","","","","","","","","","","","","","","10","10","10","10","0","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","20","10","10","10","10","10","10","10","10","10","10",10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"bmi råknare",40100,40700,39500,40500,"Sweden","0.28",43,,7,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",27100,33100,27100,27100,27100,33100,27100,22200,27100,33100,27100,27100,22200,33100,33100,33100,27100,33100,33100,33100,33100,40500,40500,33100,27100,40500,49500,60500,49500,49500,40500,33100,40500,40500,40500,33100,33100,49500,40500,40500,40500,40500,33100,33100,49500,40500,40500,40500
"bmi uträkning barn",20,20,20,30,"Sweden","",0,,11,"","","","","","10","10","10","10","20","10","10","10","10","10","10","10","","","","","","","10","110","30","30","30","30","20","10","10","10","20","20","70","30","20","50","40","30","20","10","10","20","20","10","10","10","10","20","20","20","20","10","10","10","20","20","70","40","20","50","50","30","40","40","30","50","30","30","20","20","30","40","30","40","40","40","30","30","40","20","40","30",40,40,30,20,20,40,30,20,30,30,20,30,10,20,10,20,10,10,20,10,10,20,20,20,20,20,20,40,40,40,20,20,30,20,40,20,20,30,30,30,30,30,20,20,30,40,30,30
"bmi uträkning formel",10,10,10,10,"Sweden","0.26",42,,67,"","","","","","20","30","10","10","10","10","10","20","20","20","20","10","40","30","10","20","10","10","20","40","10","20","10","20","10","30","30","70","30","20","40","50","40","90","90","10","50","110","90","10","10","20","30","30","20","30","20","30","20","30","20","40","30","10","140","170","70","20","40","70","210","20","10","20","30","10","30","10","10","10","10","10","20","10","10","0","10","20","10","20",20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,10,10,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,20,20,10,10
"bmi uträkning kvinna",380,400,560,590,"Sweden","0.36",55,,1088,"","","","","","20","30","10","10","40","10","10","10","10","10","10","10","10","10","20","40","10","10","10","20","10","10","10","10","10","10","10","10","10","10","10","","","","","","","","","","","","","","","","10","10","10","10","10","10","10","10","50","90","10","90","170","320","210","260","390","390","320","210","210","140","70","70","170","140","210","390","90","110","70","70","90","70",90,90,20,10,20,20,10,10,10,10,10,20,10,20,10,20,20,30,10,20,30,20,30,10,10,10,10,40,30,30,30,20,40,50,70,70,90,140,140,210,260,390,590,390,590,590,720,480
"bmi uträkning man",40,40,20,10,"Sweden","0.25",34,,-56,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","40","70","590","260","170","320","480","30","30","20","20","40","20","40","50","70","20","20","30","30","40","20",20,20,10,10,10,10,10,10,0,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,30,40,30,40,50,50,50,90,70,30,40,10,20,10,20
"bmi uträkning vuxen",10,10,10,10,"Sweden","0.27",47,,200,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","0","10","0","0","10","10","40","10","10","10","10","10","10","10","20","30","10","10","10","10","10","10",10,10,0,10,10,10,10,10,10,10,10,10,10,30,30,50,70,10,10,10,10,10,10,10,10,10,0,0,10,10,10,10,0,0,10,0,0,10,0,10,10,10,10,10,10,10,10,10
"bmi uträkning äldre",10,10,10,10,"Sweden","",20,,0,"","","","","","","","","","","","","","","","","","","","","","","","","50","20","30","20","40","10","10","10","10","10","10","10","","","","","","","","","","","","","","","","","10","10","0","10","10","10","10","20","10","10","10","10","10","20","10","10","10","10","10","10","10","10","20","10","30","40","70","10","20","10","10","10","20",10,10,20,10,10,10,10,10,10,30,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10
"bmiräknaren",20,30,30,30,"Sweden","",9,,-37,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70","70","70","90","110","50","90","70","70","70","70","50","30","40","40","50","70","70","40","50","70","70","70",50,50,70,50,50,70,40,30,50,50,50,50,50,50,40,40,50,50,50,30,40,70,50,30,40,50,50,50,50,50,70,20,50,70,40,40,20,40,20,30,30,20,30,30,30,40,30,30
"ditt bmi",10,10,10,10,"Sweden","0.32",50,,0,"","","","","","20","20","10","30","20","10","20","10","10","20","20","20","20","10","20","10","20","10","20","10","10","20","10","20","30","10","10","20","10","20","10","20","20","20","20","10","30","10","10","10","20","30","10","20","20","20","20","20","10","10","10","10","20","20","10","10","10","10","20","10","40","30","10","20","20","10","20","10","10","20","20","20","20","20","20","20","10","10","10","10",20,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"fettprocent räknare",10,10,10,10,"Sweden","",29,,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,30,20,10,10,20,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"formel för att räkna ut bmi",10,10,10,10,"Sweden","0.26",19,,33,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","10","10","10","10","10","10","10","10","10","20","10","20","10","10","30","20","10","10","10","10","10","10",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,20
"iso bmi räkna ut",20,20,20,20,"Sweden","",3,,200,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","10","10","50","110","70","70","90","90","70","50","70","110","110","170","110","20","30","20","20","10","20","10",10,90,110,90,10,20,30,20,10,40,40,20,20,20,10,20,20,10,10,20,10,10,20,20,10,10,20,20,20,40,40,50,10,10,10,10,20,20,20,20,20,20,20,20,30,50,10,20
"iso bmi räknare",10,10,10,10,"Sweden","",4,,-20,"","","","","","10","10","10","10","10","10","10","30","20","10","10","10","","","","","","","10","10","10","30","10","10","10","10","10","10","10","0","10","10","10","10","0","10","10","10","10","10","10","10","10","10","10","10","10","10","20","10","10","10","10","10","10","10","10","10","30","10","20","10","10","10","10","20","20","10","10","10","20","10","10","20","10","10","30","70","90","70",50,40,20,40,20,50,20,10,50,70,40,70,40,70,70,90,90,40,50,50,30,40,30,50,20,30,30,30,20,30,20,20,20,10,20,20,10,20,10,10,10,20,10,10,10,20,10,20
"kalkylera bmi",10,10,10,10,"Sweden","0.22",53,,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","20","10","30","10","10","10","10","10","10","10","10","10","10","10","10","20","10","10","10","10","10","10",10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10
"kolla bmi värde",10,10,10,10,"Sweden","",57,,200,"","","","","","","","","","","","","","","","","","","","","","","","20","20","10","40","30","20","40","40","20","30","30","40","40","40","30","40","40","30","30","30","20","10","30","40","50","30","30","40","40","30","30","30","30","20","20","40","30","40","20","40","30","30","110","90","10","20","70","30","10","10","10","10","10","10","10","10","10","10","20","10","10","10",20,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,0,10,0,10,10,0,0,0,10,0,0,10,0,10,0,10,0,0,10,10,10,0,10,10,10,0,10,10,10,10
"kolla ditt bmi",20,20,20,20,"Sweden","0.37",59,,40,"","","","","","70","50","30","50","50","50","50","40","50","50","50","40","40","40","40","40","40","30","20","30","20","30","40","20","30","40","20","10","30","50","50","40","30","40","30","40","50","30","40","30","40","40","30","40","30","40","40","40","20","40","30","30","20","30","30","30","30","50","30","30","90","50","50","90","50","20","40","30","20","30","20","30","30","40","30","20","10","20","20","20",20,20,30,10,20,20,20,20,20,20,10,20,20,30,20,30,20,20,20,30,10,20,20,20,20,30,20,30,20,20,10,10,10,20,20,10,20,30,10,30,20,20,20,20,30,20,20,20
"kolla mitt bmi",20,20,30,20,"Sweden","0.52",50,,17,"","","","","","20","20","10","20","10","10","10","10","10","30","10","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","10","20","10","10","10","10","20","20","20","10","20","20","10","50","30","20","20","10","20","20","10","10","30","10","20","20","30","10","10","10","10","20","10",10,20,10,20,10,10,10,10,20,30,10,20,10,30,10,10,10,20,20,20,20,30,40,10,10,10,20,10,20,20,10,20,20,10,30,20,10,20,10,20,20,30,70,40,20,30,20,30
"kroppsfett kalkylator",80,80,70,40,"Sweden","",3,,0,"","","","","","20","20","10","20","20","10","10","10","10","40","30","40","20","40","20","30","30","30","40","50","40","70","40","70","90","70","40","40","30","20","30","20","20","90","30","30","20","20","20","30","50","30","20","40","110","70","30","50","30","40","40","30","30","30","30","20","20","30","","","","","","","","","","","","","","50","70","90","70","50","40","30","30","40",40,50,70,70,90,70,50,50,70,70,40,50,30,30,40,30,30,40,90,30,40,40,50,40,30,70,90,70,50,50,50,90,50,50,70,50,30,70,70,140,90,170,90,140,70,50,50,40
"kroppsfett räknare",10,10,10,10,"Sweden","",0,,-50,"","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","70","110","50","10","30","50","70","90","30","20","140","170","140","40","30","30","140","110","10","10","10","10","10","70","10","10","30","40","70","140","10","10","90","70","30","10","30","50","10","","","","","","","","","","","","","20","20","10","10","10","10","10","10","10",10,10,10,10,10,20,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,30,10,20,20,20,20,10,10,10,10,20,10,10,10,10
"mät din bmi",10,10,10,10,"Sweden","0.18",63,,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","10","10","20","10","10","10","10","10","10","10","10","10","10","20","10","20","10","10","10","10","10","10",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"mät ditt bmi",10,10,10,10,"Sweden","0.26",65,,50,"","","","","","30","50","20","30","30","30","40","50","30","40","20","20","30","30","30","30","50","40","40","20","30","40","20","50","30","40","20","30","30","20","30","30","20","30","20","30","30","20","20","30","20","30","30","20","30","40","30","30","20","40","20","20","30","40","30","20","20","40","20","30","70","40","20","40","40","20","10","20","10","30","30","30","30","40","20","20","10","20","20","20",20,30,10,20,10,10,10,20,30,20,20,20,10,20,20,20,10,20,10,10,10,10,10,10,10,20,20,10,20,10,10,10,10,20,10,10,10,10,10,10,10,10,20,20,20,20,20,10
"rakna ut bmi",25200,25800,26400,27100,"Sweden","0.28",48,,40,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18100","18100","14800","60500","40500","18100","27100","27100","18100","18100","18100","14800","22200","18100","22200","33100","40500","18100","12100","14800","14800","14800","14800",22200,22200,18100,22200,18100,22200,14800,14800,18100,22200,18100,18100,14800,22200,18100,22200,18100,18100,14800,14800,18100,22200,22200,18100,14800,27100,22200,27100,22200,22200,18100,18100,18100,22200,22200,22200,18100,27100,22200,27100,22200,27100,22200,22200,33100,27100,27100,27100
"räkna bmi aleris",10,10,20,20,"Sweden","",0,,20,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","20","10","10","20","20","20","20","10","20","10","10","10","10","10","20","10","20","20","10","10","20","20",20,10,20,40,30,20,30,10,30,40,50,50,30,30,40,30,40,50,30,10,20,40,30,30,10,20,20,30,30,20,10,10,20,10,20,20,10,20,20,10,10,20,20,20,20,20,20,30
"räkna bmi formel",20,20,20,10,"Sweden","0.31",29,,100,"","","","","","50","70","40","40","50","70","90","40","20","30","40","40","10","30","40","50","50","40","50","70","30","50","50","70","30","70","50","20","40","70","50","20","20","40","70","70","40","20","20","30","40","110","50","20","40","30","20","40","50","20","20","30","50","50","90","50","40","30","30","10","20","10","10","10","10","10","10","10","10","10","10","10","20","70","10","10","10","10","10","10",10,20,10,10,10,10,20,10,10,30,20,10,10,10,20,20,30,10,10,10,10,20,40,30,30,10,10,30,30,30,20,10,10,10,10,10,20,10,20,20,20,30,30,20,20,20,20,10
"räkna bmi med ålder",10,10,10,10,"Sweden","",7,,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","10","10","20","40","10","10","10","10",10,20,10,10,10,10,20,40,50,50,10,10,10,10,10,10,10,10,10,10,10,10,20,10,40,30,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"räkna bmi värde",10,10,10,10,"Sweden","0.15",60,,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","10","10","10","10","10","10","10","10","10","10","0","10","10","10","10","10","10","10","10","10","10","10",10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,20,10,10,20,30,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10
"räkna bmi äldre",20,20,20,20,"Sweden","0.23",26,,20,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","20","10","10","10","10","0","10","0","10","10","10","10","10","10","20","70","50","30","10","10","10","10",10,10,10,10,10,10,10,20,20,20,50,30,40,20,10,10,20,20,10,10,10,10,20,30,20,30,30,90,70,40,20,10,20,20,10,10,10,10,30,20,30,30,30,50,20,20,20,20
"räkna bmi ålder",10,10,10,10,"Sweden","",0,,-25,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","30","10","10","10","10","0","0","10","10","0","10","10","10","10","10","10","10","20","50","20","10","10",10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,20,20,20,20,20,40,40,30,10,20,30,20,10,20,20,20,20,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10
"räkna din bmi",10,10,10,10,"Sweden","0.40",75,,33,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","10","10","40","30","20","10","10","10","10","10","20","10","10","20","10","20","10","10","10","10","10","10",10,10,10,20,10,20,10,10,10,20,10,10,20,10,10,10,10,20,20,10,10,20,10,20,10,20,20,30,20,20,10,20,10,10,10,10,20,20,10,10,20,10,10,10,20,10,10,10
"räkna fram bmi",10,10,10,10,"Sweden","0.39",61,,33,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","40","30","10","20","20","10","10","10","10","10","10","20","20","20","10","10","10","10","10","10",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10
"räkna midjemått",10,10,10,10,"Sweden","",0,,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10
"räkna på bmi",30,40,40,40,"Sweden","0.27",48,,30,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","10","20","70","40","20","20","20","20","10","10","10","10","10","20","30","30","10","10","10","20","20","10",10,10,10,10,10,10,10,20,20,30,20,20,10,20,10,10,20,20,20,10,20,30,30,20,20,40,40,30,20,20,30,30,20,40,40,40,20,40,40,40,30,50,40,40,30,50,50,40
"räkna ut barns bmi",20,20,20,30,"Sweden","",2,,60,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",10,20,10,20,20,20,10,10,10,10,10,10,10,10,20,20,10,20,10,20,20,10,20,10,10,20,10,20,10,10,10,10,10,20,20,20,10,30,20,20,20,10,10,10,20,30,30,30
"räkna ut bmi 1177",10,10,10,10,"Sweden","0.53",25,,-50,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","10","10","30","30","10","30","10","10","10","10","10","10","10","10","50","110","20","10","10","20","10","10",10,10,10,10,10,10,10,10,20,20,10,20,10,10,10,10,10,10,10,20,20,20,20,40,10,40,40,50,50,30,30,20,20,20,20,20,10,20,20,30,20,20,10,10,10,10,10,10
"räkna ut bmi för barn",620,640,680,820,"Sweden","",1,,119,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10",480,390,390,390,320,390,210,210,390,390,480,720,320,390,320,390,590,720,320,260,390,390,480,320,320,480,390,480,320,390,390,320,390,480,390,390,320,480,720,720,720,390,480,260,880,1000,880,590
"räkna ut bmi för män",10,10,10,10,"Sweden","",34,,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","10","0","10","10","10","10","10","10","10","10","0","10","10","10","30","10","10","10","10","10","10","10",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,10,10,10,10,10,0,10,10,10,0,10,10,10,10,0,10,10,10,10,10,10,10,0,10
"räkna ut bmi gratis",10,10,10,10,"Sweden","1.08",63,,50,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",10,10,10,10,10,10,0,0,10,10,10,10,10,10,0,0,10,10,0,10,10,0,0,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10
"räkna ut bmi hur",470,490,490,550,"Sweden","0.26",34,,57,"","","","","","","","","","","","","","","","","","","","","","","","10","10","10","10","10","30","20","10","10","10","10","10","10","10","10","0","10","10","10","10","10","0","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","40","20","50","70","10","10","10","10","10","10","10","10","10","10","10","10","10","10","0","10","10","10",320,260,320,260,260,260,210,170,260,720,320,260,210,390,390,390,260,390,210,210,260,390,480,320,210,480,390,590,320,320,320,260,260,480,390,390,260,480,480,590,390,590,390,320,590,590,590,480
"räkna ut bmi kalkylator",10,10,10,10,"Sweden","0.22",35,,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",10,20,20,10,10,10,10,20,40,90,30,20,10,10,10,10,30,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,20,10,10,10,10,10
"räkna ut bmi kille",10,10,10,10,"Sweden","0.27",43,,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","20","20","10","10","10","10","10","10","10","0","10","10","10","20","20","40","10","10","10","10","20","10",10,10,10,10,10,10,10,0,10,10,10,0,10,10,10,10,10,10,10,10,10,40,10,50,40,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"räkna ut bmi kry",10,10,10,10,"Sweden","",11,,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","50","20","20","10","10","20","10","10","10","10","20","10","10","10","10","10","10","10","10",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,20,10,10,10,10,10
"räkna ut bmi manuellt",10,10,10,10,"Sweden","",0,,-33,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","10","10","10","0","0","10","0","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10",10,10,30,30,20,30,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,0,10,0,10,10,0,0,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10
"räkna ut bmi med midjemått",10,10,10,10,"Sweden","",27,,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","10","10","10","20","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10",10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"räkna ut bmi med ålder",10,10,10,10,"Sweden","",7,,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","10","10","10","10","10","10","10","10","0","10","10","10","10","10","10","10","10","10","10","10","10","10",10,10,10,10,10,10,10,10,10,20,20,40,10,20,10,20,20,30,30,20,10,10,10,10,10,10,20,40,30,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"räkna ut bmi midjemått",10,10,10,10,"Sweden","",17,,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10",10,10,10,10,10,10,10,0,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
