"Keyword","Avg. Search Volume (Last Known Values)","Avg. Search Volume (Last 12 months)","Avg. Search Volume (Last 6 months)","Avg. Search Volume (Last 3 months)","Location","CPC/USD","PPC","Keyword Difficulty","Keyword interest growth (%)","Content Type","Search Intent","Keyword Opportunities","Serp Features","Search Volume 3/2015","Search Volume 4/2015","Search Volume 5/2015","Search Volume 6/2015","Search Volume 7/2015","Search Volume 8/2015","Search Volume 9/2015","Search Volume 10/2015","Search Volume 11/2015","Search Volume 12/2015","Search Volume 1/2016","Search Volume 2/2016","Search Volume 3/2016","Search Volume 4/2016","Search Volume 5/2016","Search Volume 6/2016","Search Volume 7/2016","Search Volume 8/2016","Search Volume 9/2016","Search Volume 10/2016","Search Volume 11/2016","Search Volume 12/2016","Search Volume 1/2017","Search Volume 2/2017","Search Volume 3/2017","Search Volume 4/2017","Search Volume 5/2017","Search Volume 6/2017","Search Volume 7/2017","Search Volume 8/2017","Search Volume 9/2017","Search Volume 10/2017","Search Volume 11/2017","Search Volume 12/2017","Search Volume 1/2018","Search Volume 2/2018","Search Volume 3/2018","Search Volume 4/2018","Search Volume 5/2018","Search Volume 6/2018","Search Volume 7/2018","Search Volume 8/2018","Search Volume 9/2018","Search Volume 10/2018","Search Volume 11/2018","Search Volume 12/2018","Search Volume 1/2019","Search Volume 2/2019","Search Volume 3/2019","Search Volume 4/2019","Search Volume 5/2019","Search Volume 6/2019","Search Volume 7/2019","Search Volume 8/2019","Search Volume 9/2019","Search Volume 10/2019","Search Volume 11/2019","Search Volume 12/2019","Search Volume 1/2020","Search Volume 2/2020","Search Volume 3/2020","Search Volume 4/2020","Search Volume 5/2020","Search Volume 6/2020","Search Volume 7/2020","Search Volume 8/2020","Search Volume 9/2020","Search Volume 10/2020","Search Volume 11/2020","Search Volume 12/2020","Search Volume 1/2021","Search Volume 2/2021","Search Volume 3/2021","Search Volume 4/2021","Search Volume 5/2021","Search Volume 6/2021","Search Volume 7/2021","Search Volume 8/2021","Search Volume 9/2021","Search Volume 10/2021","Search Volume 11/2021","Search Volume 12/2021","Search Volume 1/2022","Search Volume 2/2022","Search Volume 3/2022","Search Volume 4/2022","Search Volume 5/2022","Search Volume 6/2022","Search Volume 7/2022","Search Volume 8/2022","Search Volume 9/2022","Search Volume 10/2022","Search Volume 11/2022","Search Volume 12/2022","Search Volume 1/2023","Search Volume 2/2023","Search Volume 3/2023","Search Volume 4/2023","Search Volume 5/2023","Search Volume 6/2023","Search Volume 7/2023","Search Volume 8/2023","Search Volume 9/2023","Search Volume 10/2023","Search Volume 11/2023","Search Volume 12/2023","Search Volume 1/2024","Search Volume 2/2024","Search Volume 3/2024","Search Volume 4/2024","Search Volume 5/2024","Search Volume 6/2024","Search Volume 7/2024","Search Volume 8/2024","Search Volume 9/2024","Search Volume 10/2024","Search Volume 11/2024","Search Volume 12/2024","Search Volume 1/2025","Search Volume 2/2025","Search Volume 3/2025","Search Volume 4/2025","Search Volume 5/2025","Search Volume 6/2025","Search Volume 7/2025","Search Volume 8/2025","Search Volume 9/2025","Search Volume 10/2025","Search Volume 11/2025"
"att räkna bmi",10,10,10,10,"Sweden","0.19",46,,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","0","10","10","10","10",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"att räkna ut bmi",10,10,10,10,"Sweden","",33,,-25,"","","","","","30","10","10","10","10","10","20","20","10","20","10","10","","20","10","10","10","10","10","20","10","10","10","10","10","10","10","10","10","20","20","20","10","10","10","10","10","10","20","10","10","10","10","10","10","10","10","10","10","10","10","10","10","20","10","10","20","10","10","10","20","20","10","30","20","20","20","10","10","10","10","20","20","30","10","10","10","10","10","10",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,20,30,10,20,10,10,10,10,20,10,10,10,20,10,10,10,10,10,10,10,10,10,10
"barn bmi räknare",400,400,360,360,"Sweden","0.71",2,,-24,"","","","","","40","90","50","110","20","20","10","10","10","10","10","30","","20","10","50","140","110","70","70","110","170","70","70","70","40","50","110","170","90","90","40","30","50","10","20","20","10","10","10","10","10","10","10","10","20","10","10","30","110","10","10","10","10","10","","","20","10","10","10","30","10","10","10","10","10","10","10","10","10","20","20","20","10","10","20","10","20","10",590,590,390,590,480,480,590,480,480,480,480,480,480,720,480,590,480,390,480,590,590,480,590,480,480,590,590,720,590,590,590,480,480,480,480,390,390,590,390,480,390,390,320,390,390,390,320,390
"beräkna bmi formel",20,20,40,60,"Sweden","0.25",37,,175,"","","","","","70","40","10","10","10","10","10","10","10","20","20","20","50","50","10","20","30","30","20","30","30","50","20","30","110","40","10","20","30","30","40","40","30","70","70","70","70","70","70","10","10","20","70","70","90","110","40","40","50","40","30","20","70","70","50","10","10","10","40","90","480","50","10","20","20","30","50","20","10","50","20","20","70","70","10","10","10","40","90","30",40,20,10,20,20,20,20,20,20,30,30,20,20,30,40,40,10,30,10,10,20,20,10,10,10,10,20,30,30,20,20,10,10,10,20,10,10,10,20,10,20,20,30,10,20,40,50,90
"beräkna ditt bmi",40,40,40,40,"Sweden","0.29",54,,63,"","","","","","20","30","20","20","20","20","30","20","10","40","40","20","30","30","30","40","30","20","30","20","30","30","30","30","30","20","40","20","30","20","30","20","20","30","20","10","10","10","10","10","10","20","20","10","20","10","10","10","20","20","10","20","10","20","10","20","20","30","20","20","50","20","10","10","20","10","10","10","10","20","10","20","30","40","20","10","20","10","20","20",30,30,30,40,30,30,20,30,30,30,40,30,30,50,30,40,20,50,30,20,30,30,20,30,30,70,40,70,40,30,30,30,20,30,30,30,30,50,40,40,40,40,30,40,40,50,40,40
"beräkna mitt bmi",10,10,10,10,"Sweden","0.50",73,,67,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","10","10","20","10","10","10","10","10","10","10","10","10","20","30","20","40","10","10","10","10","10","10",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,30,10,10,10,10,10,10,10,10,10,10,10,10,20,10,20,10
"bmi barn räkna",10,10,10,10,"Sweden","",1,,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","10","0","10","20","10","10","20","10","10","10","10","10","10","10","10","40","20","20","40","10","40","20",40,20,10,20,40,50,40,30,40,50,40,30,30,50,50,50,30,40,30,30,70,50,50,30,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"bmi barn räknare",160,140,210,160,"Sweden","0.98",2,,-37,"","","","","","","","","","","","","","","","","","","0","0","0","0","0","10","20","10","10","10","10","10","10","10","10","10","20","320","20","10","20","10","10","10","10","10","20","40","110","50","20","10","20","10","20","10","10","10","90","10","10","10","90","10","10","10","20","20","40","70","40","10","50","90","50","20","110","170","210","140","210","140","140","110","20","20","10",30,110,140,170,20,30,110,140,140,70,110,30,30,40,40,90,110,140,210,140,70,40,50,110,110,90,110,140,140,140,140,50,210,110,170,320,390,140,30,40,90,30,170,390,210,30,70,390
"bmi hur räkna",130,130,130,150,"Sweden","0.25",27,,12,"","","","","","","","","","","","","","","10","10","10","20","10","10","10","10","10","10","10","0","20","10","20","10","10","0","","","","","","","","","","","","","","","","","","","","10","20","10","10","0","10","30","20","10","10","10","10","10","10","10","70","10","10","10","10","10","20","10","10","10","20","30","30","10","10","10","10","10","10",90,70,90,70,70,90,70,40,90,170,90,90,50,110,140,110,110,90,70,70,140,110,170,110,90,170,140,210,110,110,110,90,90,170,140,140,90,170,140,140,140,140,90,110,140,140,170,140
"bmi hur räkna ut",20,20,30,40,"Sweden","0.32",30,,71,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","110","20","40","40","20","110","20","10","10","10","20","10","10","20","40","40","10","10","10","10","40","20",30,40,50,50,40,40,10,0,10,20,20,10,10,10,10,10,20,10,10,10,10,10,70,40,30,40,30,50,30,40,30,10,20,20,30,20,10,10,10,20,10,10,20,30,30,40,50,50
